Venue,Mgr,Sport,LOC,KOP Description,FK,FK2,W,H,D,A sqm,Product Description,Product Finishing/Construction,Unit,Qty,Cost By,Type,KOP Code Tx,Quantity Transferred,Artwork Requested,Artworked,Comments
CCV - Cairns Convention Centre,Rachel Britton,BKB - Basketball,CCV 133,Fence Scrim Script Green,29-Sep,,13250,TBC - 1620,,,"Fabric mesh, polyester, single sided",Hemmed & eyelets on all edges (500mm) & corners,Item,5,LOK,,,0,,,FSR1 362.2m
CCV - Cairns Convention Centre,Rachel Britton,BKB - Basketball,CCV 134,Custom - RAP Entrance Header,,,,,,,Self Adhesive Vinyl,,SQM,1,LOK,,,0,,,Spectator Entrance 
CCV - Cairns Convention Centre,Rachel Britton,BKB - Basketball,CCV 135,"Sponsor Recognition Base, Medium",7-Sep,,800,2100,,,"Freestanding Base, Medium, 2.1m","Plywood frame, sand bag filled, medium size, 2 corflute panels attached (Signage family KOP FR-L)",Item,1,LOK,,,0,,,
CCV - Cairns Convention Centre,Rachel Britton,BKB - Basketball,CCV 136,Fence Scrim Script Green,29-Sep,,13250,TBC - 1620,,,"Fabric mesh, polyester, single sided",Hemmed & eyelets on all edges (500mm) & corners,Item,1,LOK,,,0,,,FSR2 26.78m
CCV - Cairns Convention Centre,Rachel Britton,BKB - Basketball,CCV 137,Fence Scrim Aqua,29-Sep,,13250,TBC - 1620,,,"Fabric mesh, polyester, single sided",Hemmed & eyelets on all edges (500mm) & corners,Item,9,LOK,,,0,,,FSR1 362.2m
CCV - Cairns Convention Centre,Rachel Britton,BKB - Basketball,CCV 138,Fence Scrim Aqua,29-Sep,,13250,TBC - 1620,,,"Fabric mesh, polyester, single sided",Hemmed & eyelets on all edges (500mm) & corners,Item,2,LOK,,,0,,,FSR2 26.78m
CCV - Cairns Convention Centre,Rachel Britton,BKB - Basketball,CCV 139,RAP A4,13-Sep,,210,297,,,Framed fabric panel,frame (timber/alloy) with stretched fabric attached,Item,1,LOK,,,,,,RAP Acknowledgement - GF Lounge Desk
CFH - Cairns Games Family Hotel,Rachel Britton,,CFH 001,Pull-Up Banner Emblem Wave,13-Sep,,900,2000,,,Pullup Banner,"Pull up banner hardware, polypropylene 270gsm (grey back) with frame",Item,1,LOK,,,0,,,
CGV - Commonwealth Games Village,Ben Treby,,CGV 001,Fence Scrim Script Blue,29-Sep,,13250,TBC - 1620,,,"Fabric mesh, polyester, single sided",Hemmed & eyelets on all edges (500mm) & corners,Item,29,LOK,,,0,,,"FSR1 1405m, 29 x pieces external, 11 x pieces internal"
CGV - Commonwealth Games Village,Ben Treby,,CGV 002,Crowd Control Barrier Jacket Event Name Aqua,12-Sep,GND,TBC - 2150,TBC - 900,,,"Fabric mesh, polyester, double sided","sewn with partial hood, eyelets place on all edging",Item,32,LOK,,,0,,,CBR1 & CBR2. Main PSA both Sides
CGV - Commonwealth Games Village,Ben Treby,,CGV 003,Crowd Control Barrier Jacket Script Wave,12-Sep,GND,TBC - 2150,TBC - 900,,,"Fabric mesh, polyester, double sided","sewn with partial hood, eyelets place on all edging",Item,32,LOK,,,0,,,CBR1 & CBR2. Main PSA both Sides
CGV - Commonwealth Games Village,Ben Treby,,CGV 004,Tent Header PSA Aqua Large,13-Sep,,10000,300,,,Framed fabric panel,frame (timber/alloy) with stretched fabric attached,Item,6,LOK,,,0,,,"Welcome Centre Entry x 4 (20m, 25m tent), Western Entry x 1, Front Lawn Entry x 1 TOTAL 6"
CGV - Commonwealth Games Village,Ben Treby,,CGV 005,Banner Venue - Reef,13-Sep,,600,2600,,,"PVC skin, double sided",100mm sleeve top + bottom. Rod diameter 60mm,Item,9,LOK,,,0,,,Design: Reef
CGV - Commonwealth Games Village,Ben Treby,,CGV 006,Banner Venue - Village Emblem Purple,13-Sep,,600,2600,,,"PVC skin, double sided",100mm sleeve top + bottom. Rod diameter 60mm,Item,8,LOK,,,0,,,Design: Goggles & Flippers
CGV - Commonwealth Games Village,Ben Treby,,CGV 007,Banner Venue - Rainforest,13-Sep,,600,2600,,,"PVC skin, double sided",100mm sleeve top + bottom. Rod diameter 60mm,Item,9,LOK,,,0,,,Design: Rainforest
CGV - Commonwealth Games Village,Ben Treby,,CGV 008,Banner Venue - Village Emblem Green,13-Sep,,600,2600,,,"PVC skin, double sided",100mm sleeve top + bottom. Rod diameter 60mm,Item,10,LOK,,,0,,,Design: Leaf
CGV - Commonwealth Games Village,Ben Treby,,CGV 009,Banner Venue - Surf,13-Sep,,600,2600,,,"PVC skin, double sided",100mm sleeve top + bottom. Rod diameter 60mm,Item,7,LOK,,,0,,,Design: Surf
CGV - Commonwealth Games Village,Ben Treby,,CGV 010,Banner Venue - Village Emblem Aqua,13-Sep,,600,2600,,,"PVC skin, double sided",100mm sleeve top + bottom. Rod diameter 60mm,Item,6,LOK,,,0,,,Design: Surfboard
CGV - Commonwealth Games Village,Ben Treby,,CGV 011,Banner Venue - Sunset,13-Sep,,600,2600,,,"PVC skin, double sided",100mm sleeve top + bottom. Rod diameter 60mm,Item,4,LOK,,,0,,,Design: Sunset
CGV - Commonwealth Games Village,Ben Treby,,CGV 012,Banner Venue - Village Emblem Pink,13-Sep,,600,2600,,,"PVC skin, double sided",100mm sleeve top + bottom. Rod diameter 60mm,Item,4,LOK,,,0,,,Design: Sun
CGV - Commonwealth Games Village,Ben Treby,,CGV 013,Banner Venue - Outback,13-Sep,,600,2600,,,"PVC skin, double sided",100mm sleeve top + bottom. Rod diameter 60mm,Item,7,LOK,,,0,,,Design: Outback
CGV - Commonwealth Games Village,Ben Treby,,CGV 014,Banner Venue - Village Emblem Orange,13-Sep,,600,2600,,,"PVC skin, double sided",100mm sleeve top + bottom. Rod diameter 60mm,Item,6,LOK,,,0,,,Design: Akubra
CGV - Commonwealth Games Village,Ben Treby,,CGV 015,Banner Venue - Beach,13-Sep,,600,2600,,,"PVC skin, double sided","Double sided with pocket top & bottom, sides cut only",Item,7,LOK,,,0,,,Design: Beach
CGV - Commonwealth Games Village,Ben Treby,,CGV 016,Banner Venue - Village Emblem Yellow,13-Sep,,600,2600,,,"PVC skin, double sided",100mm sleeve top + bottom. Rod diameter 60mm,Item,6,LOK,,,0,,,Design: Flip Flop
CGV - Commonwealth Games Village,Ben Treby,,CGV 017,Pole Bracketing Arm Set,13-Sep,,TBC,650,,,"Light Pole, banner brackets pair, single sided",,Item,83,LOK,,,0,,,
CGV - Commonwealth Games Village,Ben Treby,,CGV 018,Poster Emblem White,13-Sep,,420,594,,,Art paper 170gsm,Trimmed to size,Item,168,LOK,,,0,,,"Locations:
Resident Centres x30, 
Common Domain x138Locations:
Resident Centres x30, 
Common Domain x138"
CGV - Commonwealth Games Village,Ben Treby,,CGV 019,Poster Village Emblem,19-Sep,,420,594,,,Art paper 170gsm,Trimmed to size,Item,178,LOK,,,0,,,"Locations:
Resident Centres x30, 
Common Domain x138, Fleet Depot x 10Locations:
Resident Centres x30, 
Common Domain x138, Fleet Depot x 10"
CGV - Commonwealth Games Village,Ben Treby,,CGV 021,Poster Surf,19-Sep,,420,594,,,Art paper 170gsm,Trimmed to size,Item,28,LOK,,,0,,,"Locations:
Resident Centres x5 
Common Domain: Surf x23Locations:
Resident Centres x5 
Common Domain: Surf x23"
CGV - Commonwealth Games Village,Ben Treby,,CGV 023,Poster Sunset,18-Sep,,420,594,,,Art paper 170gsm,Trimmed to size,Item,28,LOK,,,0,,,"Locations:
Resident Centres x5, 
Common Domain: Sunset x23Locations:
Resident Centres x5, 
Common Domain: Sunset x23"
CGV - Commonwealth Games Village,Ben Treby,,CGV 025,Poster Rainforest,14-Sep,,420,594,,,Art paper 170gsm,Trimmed to size,Item,28,LOK,,,0,,,"Locations:
Resident Centres x5,
Common Domain: Rainforest x 23"
CGV - Commonwealth Games Village,Ben Treby,,CGV 027,Poster Outback,24-Sep,,420,594,,,Art paper 170gsm,Trimmed to size,Item,28,LOK,,,0,,,"Locations:
Resident Centres x5, 
Common Domain: Outback x23
Locations:
Resident Centres x5, 
Common Domain: Outback x23"
CGV - Commonwealth Games Village,Ben Treby,,CGV 028,Decal Village Emblem,2-Sep,,392,495,,,Self Adhesive Vinyl,"kiss cut, weeded, application tape applied",Item,12,LOK,,,0,,,Resident Centres x 2 each
CGV - Commonwealth Games Village,Ben Treby,,CGV 029,Backdrop - Resident Centre Backdrop Reef,28-Sep,,4000,2200,,,Freestanding backdrop,Stretched fabric (sewn with rubber welt) over alloy frame (free standing),Item,1,LOK,,,0,,,Design: Reef
CGV - Commonwealth Games Village,Ben Treby,,CGV 030,Backdrop - Resident Centre Backdrop Rainforest,28-Sep,,4000,2200,,,Freestanding backdrop,Stretched fabric (sewn with rubber welt) over alloy frame (free standing),Item,1,LOK,,,0,,,Design: Rainforest
CGV - Commonwealth Games Village,Ben Treby,,CGV 031,Backdrop - Resident Centre Backdrop Beach,28-Sep,,4000,2200,,,Freestanding backdrop,Stretched fabric (sewn with rubber welt) over alloy frame (free standing),Item,1,LOK,,,0,,,Design: Beach
CGV - Commonwealth Games Village,Ben Treby,,CGV 032,Backdrop - Resident Centre Backdrop Surf,28-Sep,,4000,2200,,,Freestanding backdrop,Stretched fabric (sewn with rubber welt) over alloy frame (free standing),Item,1,LOK,,,0,,,Design: Surf
CGV - Commonwealth Games Village,Ben Treby,,CGV 033,Backdrop - Resident Centre Backdrop Sunset,28-Sep,,4000,2200,,,Freestanding backdrop,Stretched fabric (sewn with rubber welt) over alloy frame (free standing),Item,1,LOK,,,0,,,Design: Sunset
CGV - Commonwealth Games Village,Ben Treby,,CGV 034,Backdrop - Resident Centre Backdrop Outback,28-Sep,,4000,2200,,,Freestanding backdrop,Stretched fabric (sewn with rubber welt) over alloy frame (free standing),Item,1,LOK,,,0,,,Design: Outback
CGV - Commonwealth Games Village,Ben Treby,,CGV 035,Welcome Desk Reef,1-Oct,,3000,1000,,,Framed fabric panel,frame (timber/alloy) with stretched fabric attached,SQM,1,LOK,,,0,,,Design: Reef
CGV - Commonwealth Games Village,Ben Treby,,CGV 036,Welcome Desk Rainforest,1-Oct,,3000,1000,,,Framed fabric panel,frame (timber/alloy) with stretched fabric attached,SQM,1,LOK,,,0,,,Design: Rainforest
CGV - Commonwealth Games Village,Ben Treby,,CGV 037,Welcome Desk Beach,1-Oct,,3000,1000,,,Framed fabric panel,frame (timber/alloy) with stretched fabric attached,SQM,1,LOK,,,0,,,Design: Beach
CGV - Commonwealth Games Village,Ben Treby,,CGV 038,Welcome Desk Surf,1-Oct,,3000,1000,,,Framed fabric panel,frame (timber/alloy) with stretched fabric attached,SQM,1,LOK,,,0,,,Design: Surf
CGV - Commonwealth Games Village,Ben Treby,,CGV 039,Welcome Desk Sunset,1-Oct,,3000,1000,,,Framed fabric panel,frame (timber/alloy) with stretched fabric attached,SQM,1,LOK,,,0,,,Design: Sunset
CGV - Commonwealth Games Village,Ben Treby,,CGV 040,Backdrop - Welcome Desk Outback,28-Sep,,3000,1000,,,Freestanding backdrop,Stretched fabric (sewn with rubber welt) over alloy frame (free standing),Item,1,LOK,,,0,,,Design: Outback
CGV - Commonwealth Games Village,Ben Treby,,CGV 041,Venue Entrance Header - Reef 1,13-Oct,,1800,300,,,"Corflute, single sided",,Item,4,LOK,,,0,,,Reef - Building 1
CGV - Commonwealth Games Village,Ben Treby,,CGV 042,Venue Entrance Header - Rainforest 1,9-Oct,,1800,300,,,"Corflute, single sided",,Item,4,LOK,,,0,,,Rainforest - Building 1
CGV - Commonwealth Games Village,Ben Treby,,CGV 043,Venue Entrance Header - Beach 1,25-Sep,,1800,300,,,"Corflute, single sided",,Item,3,LOK,,,0,,,Beach - Building 1
CGV - Commonwealth Games Village,Ben Treby,,CGV 044,Venue Entrance Header - Surf,23-Oct,,1800,300,,,"Corflute, single sided",,Item,1,LOK,,,0,,,Design: Surf
CGV - Commonwealth Games Village,Ben Treby,,CGV 045,Venue Entrance Header - Sunset 1,16-Oct,,1800,300,,,"Corflute, single sided",,Item,1,LOK,,,0,,,Sunset - Building 1
CGV - Commonwealth Games Village,Ben Treby,,CGV 046,Venue Entrance Header - Outback 2,5-Oct,,1800,300,,,"Corflute, single sided",,Item,1,LOK,,,0,,,Outback - Building 2
CGV - Commonwealth Games Village,Ben Treby,,CGV 047,Venue Entrance Header - Townhouse Beach,17-Sep,,297,210,,,"Corflute, single sided",,Item,7,LOK,,,0,,,"Townhouse Signs, 7 Bespoke artworks, corflute  - Beach"
CGV - Commonwealth Games Village,Ben Treby,,CGV 048,Venue Entrance Header - Catering 1,1-Oct,,2400,1200,,,"Corflute, single sided",,Item,1,Catering,,,0,,,"Main Dining:
Main Dining Sign x1"
CGV - Commonwealth Games Village,Ben Treby,,CGV 049,Venue Entrance Header - Townhouse Surf,19-Sep,,297,210,,,"Corflute, single sided",,Item,47,LOK,,,0,,,"Townhouse Signs, 47 Bespoke artworks, corflute  - Surf"
CGV - Commonwealth Games Village,Ben Treby,,CGV 050,Venue Entrance Header - Townhouse Sunset,18-Sep,,297,210,,,"Corflute, single sided",,Item,28,LOK,,,0,,,"Townhouse Signs, 28 Bespoke artworks, corflute  - Sunset"
CGV - Commonwealth Games Village,Ben Treby,,CGV 051,Venue Entrance Header,24-Sep,,2400,1200,,,"Corflute, single sided",,Item,6,LOK,,,0,,,"Text:
Games Room x1
General Store x1
Bank (With ATM) x1 
Polyclinic x1
Village Gym x1
Welcome Centre x1"
CGV - Commonwealth Games Village,Ben Treby,,CGV 052,Venue Entrance Header Text Aqua,1-Oct,,10000,500,,,"Corflute, single sided",,SQM,1,LOK,,,0,,,Text: Workforce Entry. Dimensions TBC.
CGV - Commonwealth Games Village,Ben Treby,,CGV 053,Wall Treatment - Welcome Centre Feature Wall,25-Sep,,25000,5000,,,"PVC skin, single sided",,SQM,1,LOK,,,0,,,Mega Feature Wall outisde Welcome Centre - Wall not yet scoped via VDO
CGV - Commonwealth Games Village,Ben Treby,,CGV 056,Wall Treatment - Welcome Centre - Circulation Zone,1-Oct,,17600,2400,,,"Corflute, single sided",,SQM,1,LOK,,,0,,,Internal wall opposite entry - possible RAP wall
CGV - Commonwealth Games Village,Ben Treby,,CGV 057,Wall Treatment - Welcome Centre - General Queue,1-Oct,,16500,2400,,,Self Adhesive Vinyl,,SQM,1,LOK,,,0,,,"Exhibition wall, right side after entry"
CGV - Commonwealth Games Village,Ben Treby,,CGV 058,Wall Treatment - Welcome Centre - Circulation Zone,1-Oct,,3000,2400,,,"Corflute, single sided",,SQM,1,LOK,,,0,,,Design: TBC
CGV - Commonwealth Games Village,Ben Treby,,CGV 059,Table Skirt Graphic Pandanus,5-Sep,,1820,730,750,,"Fabric, polyester, single sided","White velcro(25mm) loop sewn to top edge (white thread), supplied with self adhesive hook",Item,18,LOK,,,0,,,
CGV - Commonwealth Games Village,Ben Treby,,CGV 060,Table Skirt Graphic Sun,2-Oct,,1820,730,750,,"Fabric, polyester, single sided","White velcro(25mm) loop sewn to top edge (white thread), supplied with self adhesive hook",Item,7,LOK,,,0,,,
CGV - Commonwealth Games Village,Ben Treby,,CGV 061,Table Skirt Graphic Wing,17-Dec,,1820,730,750,,"Fabric, polyester, single sided","White velcro(25mm) loop sewn to top edge (white thread), supplied with self adhesive hook",Item,3,LOK,,,0,,,
CGV - Commonwealth Games Village,Ben Treby,,CGV 062,Wall Treatment - Sport Info Centre,1-Oct,,7000,2400,,,"Corflute, single sided",,SQM,1,LOK,,,0,,,Design: TBC. Sport Information Centre
CGV - Commonwealth Games Village,Ben Treby,,CGV 063,Decal Emblem Full Colour Large,28-Sep,,400,550,,,Self Adhesive Vinyl,"kiss cut, weeded, application tape applied",Item,3,LOK,,,0,,,"Sport Information Centre x 1,  Media Centre x 1, Protocol Centre x 1"
CGV - Commonwealth Games Village,Ben Treby,,CGV 064,Table Skirt Graphic Aqua,5-Nov,,1820,730,750,,"Fabric, polyester, single sided","White velcro(25mm) loop sewn to top edge (white thread), supplied with self adhesive hook",Item,6,LOK,,,0,,,Sport Information Centre
CGV - Commonwealth Games Village,Ben Treby,,CGV 065,Table Skirt Graphic Wing,18-Dec,,1820,730,750,,"Fabric, polyester, single sided","White velcro(25mm) loop sewn to top edge (white thread), supplied with self adhesive hook",Item,6,LOK,,,0,,,Sport Information Centre
CGV - Commonwealth Games Village,Ben Treby,,CGV 066,Table Skirt Graphic Sun,3-Oct,,1820,730,750,,"Fabric, polyester, single sided","White velcro(25mm) loop sewn to top edge (white thread), supplied with self adhesive hook",Item,5,LOK,,,0,,,Sport Information Centre
CGV - Commonwealth Games Village,Ben Treby,,CGV 067,Table Skirt Graphic Pandanus,6-Sep,,1820,730,750,,"Fabric, polyester, single sided","White velcro(25mm) loop sewn to top edge (white thread), supplied with self adhesive hook",Item,7,LOK,,,0,,,Sport Information Centre
CGV - Commonwealth Games Village,Ben Treby,,CGV 068,Wall Treatment - CGA Services Window Treatment,25-Sep,,5000,1000,,,Self Adhesive Vinyl,,SQM,1,LOK,,,0,,,Design TBC. All CGA Services Window treatment to be designed together
CGV - Commonwealth Games Village,Ben Treby,,CGV 069,Wall Treatment - CGA Services Window Treatment,25-Sep,,4400,1000,,,Self Adhesive Vinyl,,SQM,1,LOK,,,0,,,Design TBC. All CGA Services Window treatment to be designed together
CGV - Commonwealth Games Village,Ben Treby,,CGV 070,Wall Treatment - CGA Services Window Treatment,25-Sep,,6600,1000,,,Self Adhesive Vinyl,,SQM,1,LOK,,,0,,,Design TBC. All CGA Services Window treatment to be designed together
CGV - Commonwealth Games Village,Ben Treby,,CGV 071,Wall Treatment - CGA Services Window Treatment,25-Sep,,19800,1000,,,Self Adhesive Vinyl,,SQM,1,LOK,,,0,,,Design TBC. All CGA Services Window treatment to be designed together
CGV - Commonwealth Games Village,Ben Treby,,CGV 072,Wall Treatment - CGA Services Window Treatment,25-Sep,,63800,1000,,,Self Adhesive Vinyl,,SQM,1,LOK,,,0,,,CGA Services Window Treatment - Combined Lot C04
CGV - Commonwealth Games Village,Ben Treby,,CGV 073,Wall Treatment - CGA Services Window Treatment,25-Sep,,8600,1000,,,Self Adhesive Vinyl,,SQM,1,LOK,,,0,,,Design TBC. All CGA Services Window treatment to be designed together
CGV - Commonwealth Games Village,Ben Treby,,CGV 075,Decal Event Name Ink Large,13-Sep,,2482,128,,,Self Adhesive Vinyl,"kiss cut, weeded, application tape applied",Item,4,LOK,,,0,,,CGA Services Centre - wall decals 
CGV - Commonwealth Games Village,Ben Treby,,CGV 076,Decal Emblem Full Colour Extra Large,25-Sep,,732,1000,,,Self Adhesive Vinyl,"kiss cut, weeded, application tape applied",Item,4,LOK,,,0,,,CGA Service Centre - wall decals 
CGV - Commonwealth Games Village,Ben Treby,,CGV 078,Decal Emblem Full Colour Large,13-Sep,,400,550,,,Self Adhesive Vinyl,"kiss cut, weeded, application tape applied",Item,4,LOK,,,0,,,"CGA Service Centre x 1, Polyclinic x 3 desks"
CGV - Commonwealth Games Village,Ben Treby,,CGV 079,Decal Emblem Frosted Medium,13-Sep,,200,275,,,Self Adhesive Vinyl,"kiss cut, weeded, application tape applied",Item,7,LOK,,,0,,,Design: Village Emblem Frosted. Placed on Entrance doors. CGA Services Centre
CGV - Commonwealth Games Village,Ben Treby,,CGV 080,Wall Treatment - CGA Services Centre,25-Sep,,4000,2400,,,Self Adhesive Vinyl,,SQM,1,LOK,,,0,,,Design: Surf. CGA Services Centre.
CGV - Commonwealth Games Village,Ben Treby,,CGV 081,Table Skirt Graphic Aqua,6-Nov,,1820,730,750,,"Fabric, polyester, single sided","White velcro(25mm) loop sewn to top edge (white thread), supplied with self adhesive hook",Item,9,LOK,,,0,,,"CGA Services Centre x 5, Fleet Depot x 4"
CGV - Commonwealth Games Village,Ben Treby,,CGV 082,Table Skirt Graphic Wing,19-Dec,,1820,730,750,,"Fabric, polyester, single sided","White velcro(25mm) loop sewn to top edge (white thread), supplied with self adhesive hook",Item,6,LOK,,,0,,,CGA Services Centre
CGV - Commonwealth Games Village,Ben Treby,,CGV 083,Table Skirt Graphic Sun,4-Oct,,1820,730,750,,"Fabric, polyester, single sided","White velcro(25mm) loop sewn to top edge (white thread), supplied with self adhesive hook",Item,2,LOK,,,0,,,CGA Services Centre
CGV - Commonwealth Games Village,Ben Treby,,CGV 084,Table Skirt Graphic Pandanus,7-Sep,,1820,730,750,,"Fabric, polyester, single sided","White velcro(25mm) loop sewn to top edge (white thread), supplied with self adhesive hook",Item,2,LOK,,,0,,,CGA Services Centre
CGV - Commonwealth Games Village,Ben Treby,,CGV 085,Pull-Up Banner Emblem Pandanus,13-Sep,,900,2000,,,Pullup Banner,"Pull up banner hardware, polypropylene 270gsm (grey back) with frame",Item,1,LOK,,,0,,,CGA Services Centre
CGV - Commonwealth Games Village,Ben Treby,,CGV 086,Pull-Up Banner Emblem Sun,13-Sep,,900,2000,,,Pullup Banner,"Pull up banner hardware, polypropylene 270gsm (grey back) with frame",Item,1,LOK,,,0,,,CGA Services Centre
CGV - Commonwealth Games Village,Ben Treby,,CGV 087,Pull-Up Banner Emblem Wing,13-Sep,,900,2000,,,Pullup Banner,"Pull up banner hardware, polypropylene 270gsm (grey back) with frame",Item,1,LOK,,,0,,,CGA Services Centre
CGV - Commonwealth Games Village,Ben Treby,,CGV 088,Pull-Up Banner Sponsor Wing,13-Sep,,900,2000,,,Pullup Banner,"Pull up banner hardware, polypropylene 270gsm (grey back) with frame",Item,1,LOK,,,0,,,CGA Services Centre
CGV - Commonwealth Games Village,Ben Treby,,CGV 090,Wall Treatment - Games Area Window Treatment,25-Sep,,4600,1000,,,Self Adhesive Vinyl,,SQM,1,LOK,,,0,,,Design TBC. All Games Area Window treatment to be designed together
CGV - Commonwealth Games Village,Ben Treby,,CGV 091,Wall Treatment - Games Area Window Treatment,25-Sep,,10600,1000,,,Self Adhesive Vinyl,,SQM,1,LOK,,,0,,,Design TBC. All Games Area Window treatment to be designed together
CGV - Commonwealth Games Village,Ben Treby,,CGV 092,Wall Treatment - Chef De Mission Hall Window Treatment,25-Sep,,7000,1000,,,Self Adhesive Vinyl,,SQM,1,LOK,,,0,,,
CGV - Commonwealth Games Village,Ben Treby,,CGV 093,Wall Treatment - Chef de Mission Hall,25-Sep,,14200,1000,,,Self Adhesive Vinyl,,SQM,1,LOK,,,0,,,Chef de Mission Hall
CGV - Commonwealth Games Village,Ben Treby,,CGV 094,Media Table Treatment Emblem Ink,15-Sep,,7200,750,750,,Framed fabric panel,frame (timber/alloy) with stretched fabric attached,Item,1,LOK,,,0,,,Chef de Mission Hall
CGV - Commonwealth Games Village,Ben Treby,,CGV 095,Media Backdrop Script Wave,13-Sep,,7500,2200,,,Freestanding backdrop,Stretched fabric (sewn with rubber welt) over alloy frame (free standing),Item,1,LOK,,,0,,,Chef de Mission Hall
CGV - Commonwealth Games Village,Ben Treby,,CGV 096,Microphone Cover Emblem Full Colour,13-Sep,,50,50,,,Microphone cube,Moulded/Routed polyprop cube,Item,6,LOK,,,0,,,Chef de Mission Hall
CGV - Commonwealth Games Village,Ben Treby,,CGV 097,Table Skirt Graphic Aqua,4-Sep,,1820,730,750,,"Fabric, polyester, single sided","White velcro(25mm) loop sewn to top edge (white thread), supplied with self adhesive hook",Item,3,LOK,,,0,,,Chef de Mission Hall
CGV - Commonwealth Games Village,Ben Treby,,CGV 098,Decal Emblem Frosted Medium,13-Sep,,200,275,,,Self Adhesive Vinyl,"kiss cut, weeded, application tape applied",Item,6,LOK,,,0,,,Chef de Mission Hall & Games Area
CGV - Commonwealth Games Village,Ben Treby,,CGV 105,Wall Treatment - Gym & Recovery Centre Window Treatment,25-Sep,,29200,1000,,,Self Adhesive Vinyl,,SQM,1,LOK,,,0,,,Design & Dimensions TBC by LOK
CGV - Commonwealth Games Village,Ben Treby,,CGV 106,Wall Treatment - Polyclinic Window Treatment,25-Sep,,33750,1000,,,Self Adhesive Vinyl,,SQM,1,LOK,,,0,,,Design & Dimensions TBC by LOK
CGV - Commonwealth Games Village,Ben Treby,,CGV 107,Wall Treatment - Gym,25-Sep,,14500,2400,,,Self Adhesive Vinyl,,SQM,1,LOK,,,0,,,Artwork to include Athlete Moment/ inspired by Athlete Moment
CGV - Commonwealth Games Village,Ben Treby,,CGV 109,Table Skirt Graphic Wing,20-Dec,,1820,730,750,,"Fabric, polyester, single sided","White velcro(25mm) loop sewn to top edge (white thread), supplied with self adhesive hook",Item,3,LOK,,,0,,,Reception Desk - Gym
CGV - Commonwealth Games Village,Ben Treby,,CGV 110,Decal Emblem Frosted Medium,13-Sep,,200,275,,,Self Adhesive Vinyl,"kiss cut, weeded, application tape applied",Item,6,LOK,,,0,,,Entrance Doors Gym & Recovery Centre
CGV - Commonwealth Games Village,Ben Treby,,CGV 112,Table Skirt Graphic Aqua,7-Nov,,1820,730,750,,"Fabric, polyester, single sided","White velcro(25mm) loop sewn to top edge (white thread), supplied with self adhesive hook",Item,15,LOK,,,0,,,Boxing Weigh-in
CGV - Commonwealth Games Village,Ben Treby,,CGV 116,Decal Emblem Frosted Medium,13-Sep,,200,275,,,Self Adhesive Vinyl,"kiss cut, weeded, application tape applied",Item,2,LOK,,,0,,,Entrance Doors Boxing Weigh-in
CGV - Commonwealth Games Village,Ben Treby,,CGV 118,Pillar Wrap Beach Zone,16-Sep,,1700,3000,,,"PVC skin, single sided",sewn velcro edges to join ends,SQM,5,LOK,,,0,,,Main Dining. Design: Pillar Wrap Beach
CGV - Commonwealth Games Village,Ben Treby,,CGV 119,Pillar Wrap Outback Zone,17-Sep,,1700,3000,,,"PVC skin, single sided",sewn velcro edges to join ends,SQM,11,LOK,,,0,,,Main Dining. Design: Pillar Wrap Outback
CGV - Commonwealth Games Village,Ben Treby,,CGV 120,Pillar Wrap Rainforest Zone,18-Sep,,1700,3000,,,"PVC skin, single sided",sewn velcro edges to join ends,SQM,5,LOK,,,0,,,Main Dining. Design: Pillar Wrap Rainforest
CGV - Commonwealth Games Village,Ben Treby,,CGV 121,Pillar Wrap Reef Zone,19-Sep,,1700,3000,,,"PVC skin, single sided",sewn velcro edges to join ends,SQM,7,LOK,,,0,,,Main Dining. Design: Pillar Wrap Reef Zone
CGV - Commonwealth Games Village,Ben Treby,,CGV 122,Pillar Wrap Sunset Zone,20-Sep,,1700,3000,,,"PVC skin, single sided",sewn velcro edges to join ends,SQM,6,LOK,,,0,,,Main Dining. Design: Pillar Wrap Sunset
CGV - Commonwealth Games Village,Ben Treby,,CGV 123,Pillar Wrap Surf Zone,21-Sep,,1700,3000,,,"PVC skin, single sided",sewn velcro edges to join ends,SQM,3,LOK,,,0,,,Main Dining. Design: Pillar Wrap Surf
CGV - Commonwealth Games Village,Ben Treby,,CGV 124,Mascot,5-Sep,,1607,1500,,,Mascot Standee,"(corflute/card) routercut, standee",Item,2,LOK,,,0,,,"Workforce Check-in x 1, Fleet Depot x 1"
CGV - Commonwealth Games Village,Ben Treby,,CGV 125,Table Skirt Graphic Wing,21-Dec,,1820,730,750,,"Fabric, polyester, single sided","White velcro(25mm) loop sewn to top edge (white thread), supplied with self adhesive hook",Item,2,LOK,,,0,,,Workforce Check-in
CGV - Commonwealth Games Village,Ben Treby,,CGV 126,Table Skirt Graphic Sun,5-Oct,,1820,730,750,,"Fabric, polyester, single sided","White velcro(25mm) loop sewn to top edge (white thread), supplied with self adhesive hook",Item,4,LOK,,,0,,,Workforce Check-in
CGV - Commonwealth Games Village,Ben Treby,,CGV 127,Pull-Up Banner Emblem Wing,13-Sep,,900,2000,,,Pullup Banner,"Pull up banner hardware, polypropylene 270gsm (grey back) with frame",Item,1,LOK,,,0,,,Workforce Check-in
